flock_id,farm_no,house_no,survey_date,season,first_date_placed,last_date_sold,carbon_add_backs,caked_litter,pulled_cake_from_house,house_clean_out,litter_condition,litter_depth,moisture_percent,paw_score,proper_windrowing,litter_intervention,avg_weight,feed_conversion,livability,one_week_mortality,weight_gain_per_day,age_days,head_placed,head_sold,feed_consumed,goal_weight,breed,bird_type,hen_age_weeks,moisture_percent_single,paw_score_single,caked_litter_single,moisture_composite,paw_score_composite,caked_litter_composite,moisture_percent_num,paw_score_num,caked_litter_num,moisture_level,paw_score_level,mortality_rate,feed_efficiency,production_days
4582-25,4582,25,2024-10-23,Fall,2024-09-27,2024-11-05,Done per SOP,"11 – 49 % caked,Less than 10 % caked",TRUE,Cleaned within 3 years,None of the above (litter even and clean),Less than 3 inches,Less than 30 % moisture,Greater than 80 % acceptable paws,Performed but not recorded,Acid and disinfect used,4.06793174932228,1.68490787926303,95.8868501529,1.7370030581,0.1043059423,39,65400,62710,429820,4.2,ROSS 708,SB,39,Less than 30 % moisture,Greater than 80 % acceptable paws,11 – 49 % caked,FALSE,FALSE,TRUE,15,90,30,Low,Good,4.113149847094801,0.5935042575962045,39
4582-25,4582,25,2024-10-18,Fall,2024-09-27,2024-11-05,Done per SOP,"Less than 10 % caked,11 – 49 % caked",TRUE,Cleaned within 3 years,None of the above (litter even and clean),Greater than 5 inches,Less than 30 % moisture,Greater than 80 % acceptable paws,Performed per SOP,Acid and disinfect used,4.06793174932228,1.68490787926303,95.8868501529,1.7370030581,0.1043059423,39,65400,62710,429820,4.2,ROSS 708,SB,39,Less than 30 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,TRUE,15,90,5,Low,Good,4.113149847094801,0.5935042575962045,39
1359-267,1359,267,2025-04-09,Spring,2025-03-20,2025-04-28,Done per SOP,Less than 10 % caked,TRUE,4 – 5 years since cleanout,None of the above (litter even and clean),Greater than 5 inches,Less than 30 % moisture,Greater than 80 % acceptable paws,Performed but not recorded,Only 1 intervention used,4.62210254357556,1.56432057943631,96.0874125874,2.3741258741,0.1185154498,39,28600,27481,198700,4.2,ROSS 708,SB,43,Less than 30 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,15,90,5,Low,Good,3.912587412587413,0.6392551585304476,39
1414-118,1414,118,2025-03-05,Winter,2025-02-13,2025-03-20,Done per SOP,11 – 49 % caked,TRUE,4 – 5 years since cleanout,"Presence of marbles, chunks, leftover cake, or uneven litter",Less than 3 inches,31 – 40 % moisture,Greater than 80 % acceptable paws,Performed but not recorded,Only 1 intervention used,4.07521637719992,1.59804408495341,94.2618333788,1.4000181703,0.1198593052,34,110070,103754,675685,4.2,ROSS 308,SB,35,31 – 40 % moisture,Greater than 80 % acceptable paws,11 – 49 % caked,FALSE,FALSE,FALSE,35.5,90,30,High,Good,5.738166621241028,0.6257649644434898,35
8961-37,8961,37,2025-02-13,Winter,2025-01-20,2025-02-21,Done per SOP,11 – 49 % caked,TRUE,More than 5 years since cleanout,"Presence of marbles, chunks, leftover cake, or uneven litter",Less than 3 inches,31 – 40 % moisture,Greater than 80 % acceptable paws,Performed per SOP,Only 1 intervention used,3.74363236124416,1.50087270385684,95.5351515152,1.1157575758,0.1207623342,31,165000,157633,885695,4.2,ROSS 308,SB,51,31 – 40 % moisture,Greater than 80 % acceptable paws,11 – 49 % caked,FALSE,FALSE,FALSE,35.5,90,30,High,Good,4.464848484848485,0.6662790238174553,32
5187-200,5187,200,2024-10-04,Fall,2024-09-10,2024-10-25,Not done,Less than 10 % caked,TRUE,Cleaned within 3 years,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,Less than 30 % moisture,Greater than 80 % acceptable paws,Performed but not recorded,Acid and disinfect used,6.47822188664999,1.71722027972028,96.3227272727,0.7363636364,0.1439604864,45,44000,42382,471480,6.7,ROSS 708,TP,53,Less than 30 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,15,90,5,Low,Good,3.677272727272727,0.5823364723848307,45
1616-116,1616,116,2024-10-25,Fall,2024-10-07,2024-11-12,Done per SOP,Less than 10 % caked,TRUE,4 – 5 years since cleanout,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,Less than 30 % moisture,Greater than 80 % acceptable paws,Performed per SOP,Only 1 intervention used,4.4066025908901,1.56443812233286,95.6683390969,1.4212325344,0.1224056275,36,50027,47860,329940,4.2,ROSS 308,SB,45,Less than 30 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,15,90,5,Low,Good,4.331660903112319,0.6392071285688303,36
0170-100,170,100,2024-11-04,Fall,2024-10-14,2024-11-18,Done per SOP,11 – 49 % caked,TRUE,4 – 5 years since cleanout,"Presence of marbles, chunks, leftover cake, or uneven litter",Less than 3 inches,Less than 30 % moisture,Greater than 80 % acceptable paws,Performed but not recorded,Only 1 intervention used,4.72828575046511,1.52115693626138,93.2537015169,3.0356980652,0.139067228,34,110090,102663,738400,4.2,ROSS 308,SB,46,Less than 30 % moisture,Greater than 80 % acceptable paws,11 – 49 % caked,FALSE,FALSE,FALSE,15,90,30,Low,Good,6.746298483059316,0.6573943661971839,35
2715-6,2715,6,2024-08-22,Summer,2024-07-18,2024-09-03,Done per SOP,Less than 10 % caked,FALSE,Cleaned within 3 years,None of the above (litter even and clean),Greater than 5 inches,Less than 30 % moisture,Greater than 80 % acceptable paws,Performed but not recorded,Acid and disinfect used,7.09514005125091,1.62559498956159,96.4442857143,1.0985714286,0.1507043947,47,70000,67511,778660,6.7,ROSS 308,ORG,36,Less than 30 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,15,90,5,Low,Good,3.5557142857142856,0.6151593763645224,47
5064-204,5064,204,2024-09-17,Summer,2024-08-20,2024-10-08,Not done,11 – 49 % caked,TRUE,Cleaned within 3 years,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,31 – 40 % moisture,Greater than 80 % acceptable paws,Performed but not recorded,Only 1 intervention used,6.03662328688241,1.82043650793651,95.8388520971,0.7218543046,0.1245539607,49,45300,43415,477100,6.7,ROSS 708,TP,37,31 – 40 % moisture,Greater than 80 % acceptable paws,11 – 49 % caked,FALSE,FALSE,FALSE,35.5,90,30,High,Good,4.161147902869757,0.5493188010899177,49
1226-13,1226,13,2024-08-27,Summer,2024-08-01,2024-09-16,Done per SOP,Less than 10 % caked,TRUE,Cleaned within 3 years,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,31 – 40 % moisture,Greater than 80 % acceptable paws,None,Acid and disinfect used,6.56252723311547,1.67741185844233,96.0251046025,1.190376569,0.1426636355,46,47800,45900,505270,6.7,ROSS 708,TP,50,31 – 40 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,35.5,90,5,High,Good,3.9748953974895396,0.5961565103805901,46
0890-92,890,92,2024-09-06,Summer,2024-08-09,2024-09-25,Not done,11 – 49 % caked,TRUE,Cleaned within 3 years,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,Less than 30 % moisture,Greater than 80 % acceptable paws,None,Acid and disinfect used,6.4728036337906,1.73016432752662,94.829004329,1.7337662338,0.137986331,47,46200,43811,490640,6.7,ROSS 708,TP,28,Less than 30 % moisture,Greater than 80 % acceptable paws,11 – 49 % caked,FALSE,FALSE,FALSE,15,90,30,Low,Good,5.170995670995671,0.577979781509866,47
2702-87,2702,87,2025-03-11,Winter,2025-02-18,2025-03-24,Done per SOP,11 – 49 % caked,TRUE,More than 5 years since cleanout,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,31 – 40 % moisture,Greater than 80 % acceptable paws,None,Only 1 intervention used,4.21896243291592,1.51367452510176,96.7128027682,1.2474048443,0.1240871304,34,57800,55900,356985,4.2,ROSS 308,SB,42,31 – 40 % moisture,Greater than 80 % acceptable paws,11 – 49 % caked,FALSE,FALSE,FALSE,35.5,90,30,High,Good,3.2871972318339098,0.660644004650057,34
2702-87,2702,87,2025-03-12,Winter,2025-02-18,2025-03-24,Done per SOP,11 – 49 % caked,FALSE,More than 5 years since cleanout,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,31 – 40 % moisture,Greater than 80 % acceptable paws,None,Only 1 intervention used,4.21896243291592,1.51367452510176,96.7128027682,1.2474048443,0.1240871304,34,57800,55900,356985,4.2,ROSS 308,SB,42,31 – 40 % moisture,Greater than 80 % acceptable paws,11 – 49 % caked,FALSE,FALSE,FALSE,35.5,90,30,High,Good,3.2871972318339098,0.660644004650057,34
1892-33,1892,33,2024-09-30,Fall,2024-09-03,2024-10-18,Not done,11 – 49 % caked,TRUE,More than 5 years since cleanout,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,Greater than 40 % moisture,Greater than 80 % acceptable paws,None,Only 1 intervention used,6.64446244786509,1.67819725433526,95.22,1.9314285714,0.1481241436,45,35000,33327,371620,6.7,ROSS 708,TP,32,Greater than 40 % moisture,Greater than 80 % acceptable paws,11 – 49 % caked,FALSE,FALSE,FALSE,45.5,90,30,High,Good,4.78,0.595877509283677,45
3054-32,3054,32,2025-04-03,Spring,2025-03-11,2025-04-30,Done per SOP,"Less than 10 % caked,11 – 49 % caked",TRUE,More than 5 years since cleanout,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,Less than 30 % moisture,"50 – 80 % acceptable paws,Greater than 80 % acceptable paws",Performed but not recorded,Only 1 intervention used,7.3928157589803,1.71312969308158,94.6658163265,1.5905612245,0.1482963702,50,78400,74218,939960,6.7,ROSS 708,TP,50,Less than 30 % moisture,50 – 80 % acceptable paws,Less than 10 % caked,FALSE,TRUE,TRUE,15,65,5,Low,Acceptable,5.334183673469388,0.5837269671049824,50
2490-10,2490,10,2024-10-07,Fall,2024-09-10,2024-11-08,Done per SOP,"11 – 49 % caked,Greater than 50 % of area caked",NA,Cleaned within 3 years,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,31 – 40 % moisture,Greater than 80 % acceptable paws,Performed per SOP,Acid and disinfect used,9.61572783045176,1.80067861492953,96.9189189189,0.5608108108,0.1629784378,59,74000,71720,1241820,9,ROSS 708,BB,43,31 – 40 % moisture,Greater than 80 % acceptable paws,11 – 49 % caked,FALSE,FALSE,TRUE,35.5,90,30,High,Good,3.081081081081081,0.5553461854375026,59
1952-84,1952,84,2025-04-18,Spring,2025-03-28,2025-05-14,Done per SOP,11 – 49 % caked,TRUE,Cleaned within 3 years,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,31 – 40 % moisture,Greater than 80 % acceptable paws,None,Only 1 intervention used,6.50816917521719,1.65864645132938,90.8149350649,1.5811688312,0.1386793465,47,30800,27971,301940,6.7,ROSS 708,TP,48,31 – 40 % moisture,Greater than 80 % acceptable paws,11 – 49 % caked,FALSE,FALSE,FALSE,35.5,90,30,High,Good,9.185064935064934,0.6029012386566861,47
0601-48,601,48,2024-09-13,Summer,2024-08-15,2024-10-15,Done per SOP,Less than 10 % caked,FALSE,Cleaned within 3 years,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,Less than 30 % moisture,Greater than 80 % acceptable paws,Performed but not recorded,Only 1 intervention used,10.059610163892,1.83193877259617,96.6930555556,0.5569444444,0.1650964135,61,72000,69619,1282980,9,ROSS 708,BB,34,Less than 30 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,15,90,5,Low,Good,3.3069444444444445,0.545869771937208,61
8280-205,8280,205,2025-02-17,Winter,2025-01-24,2025-02-24,Done per SOP,11 – 49 % caked,FALSE,4 – 5 years since cleanout,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,31 – 40 % moisture,Greater than 80 % acceptable paws,None,Only 1 intervention used,3.44927368481972,1.53899608501119,94.2490909091,1.3863636364,0.1112668931,31,110000,103674,550345,4.2,ROSS 308,SB,35,31 – 40 % moisture,Greater than 80 % acceptable paws,11 – 49 % caked,FALSE,FALSE,FALSE,35.5,90,30,High,Good,5.750909090909091,0.6497742325268677,31
5493-57,5493,57,2024-08-20,Summer,2024-07-25,2024-09-10,Done per SOP,Less than 10 % caked,TRUE,Cleaned within 3 years,"Presence of marbles, chunks, leftover cake, or uneven litter,None of the above (litter even and clean)",Greater than 5 inches,31 – 40 % moisture,Greater than 80 % acceptable paws,Performed but not recorded,Acid and disinfect used,6.79018956838385,1.64309148264984,98.0777310924,1.0798319328,0.1448003394,47,47600,46685,520860,6.7,ROSS 708,ORG,37,31 – 40 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,35.5,90,5,High,Good,1.9222689075630253,0.6086088392274324,47
1546-93,1546,93,2024-10-09,Fall,2024-09-19,2024-11-18,Done per SOP,11 – 49 % caked,FALSE,4 – 5 years since cleanout,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,31 – 40 % moisture,50 – 80 % acceptable paws,Performed but not recorded,Only 1 intervention used,10.135270727266,1.84718402815972,95.7615658363,1.8024911032,0.1689211788,60,56200,53818,1007565,9,ROSS 708,BB,52,31 – 40 % moisture,50 – 80 % acceptable paws,11 – 49 % caked,FALSE,FALSE,FALSE,35.5,65,30,High,Acceptable,4.238434163701068,0.5413645769751823,60
2178-100,2178,100,2025-04-16,Spring,2025-03-31,2025-05-15,Done per SOP,Less than 10 % caked,TRUE,Cleaned within 3 years,"Presence of marbles, chunks, leftover cake, or uneven litter",Less than 3 inches,31 – 40 % moisture,Greater than 80 % acceptable paws,Performed but not recorded,Acid and disinfect used,5.98090357219121,1.66608861232956,97.1768774704,0.6976284585,0.1329089683,45,101200,98343,979960,6.7,ROSS 708,TP,41,31 – 40 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,35.5,90,5,High,Good,2.823122529644269,0.6002081717621124,45
1274-107,1274,107,2025-02-28,Winter,2025-02-03,2025-04-04,Done per SOP,Less than 10 % caked,FALSE,Cleaned within 3 years,None of the above (litter even and clean),Less than 3 inches,Less than 30 % moisture,Greater than 80 % acceptable paws,Performed per SOP,Acid and disinfect used,8.94284356504083,1.92365942028986,92.588,2.874,0.1515736197,59,50000,46294,796395,9,ROSS 708,BB,39,Less than 30 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,15,90,5,Low,Good,7.412000000000001,0.519842540447892,60
8112-163,8112,163,2024-09-10,Summer,2024-08-19,2024-10-02,Not done,Less than 10 % caked,TRUE,Cleaned within 3 years,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,31 – 40 % moisture,Greater than 80 % acceptable paws,None,Only 1 intervention used,6.62133777960633,1.62489371443522,95.8112033195,1.101659751,0.151506129,44,48200,46181,496860,6.7,ROSS 708,TP,40,31 – 40 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,35.5,90,5,High,Good,4.1887966804979255,0.6154248681721189,44
0854-109,854,109,2024-08-16,Summer,2024-07-25,2024-09-13,Done per SOP,Less than 10 % caked,TRUE,More than 5 years since cleanout,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,Less than 30 % moisture,Greater than 80 % acceptable paws,Performed but not recorded,Acid and disinfect used,7.56736919366677,1.68851323264514,96.8223350254,1.0558375635,0.1513473839,50,19700,19074,243720,6.7,ROSS 708,TP,50,Less than 30 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,15,90,5,Low,Good,3.1776649746192898,0.5922369932709679,50
2247-96,2247,96,2025-04-15,Spring,2025-03-25,2025-05-10,Done per SOP,Less than 10 % caked,TRUE,Cleaned within 3 years,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,31 – 40 % moisture,Greater than 80 % acceptable paws,None,Only 1 intervention used,6.17907432713446,1.67619423076923,94.4500561167,1.4085297419,0.13447288,46,89100,84155,871621,6.7,ROSS 708,TP,35,31 – 40 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,35.5,90,5,High,Good,5.5499438832772165,0.5965895727615561,46
2470-18,2470,18,2024-09-10,Summer,2024-08-12,2024-09-12,Done per SOP,11 – 49 % caked,FALSE,More than 5 years since cleanout,"Presence of marbles, chunks, leftover cake, or uneven litter",Less than 3 inches,31 – 40 % moisture,Greater than 80 % acceptable paws,Performed per SOP,Only 1 intervention used,3.61541240516737,1.495046861002,97.3006060606,0.8781818182,0.1166262066,31,165000,160546,867785,4.2,ROSS 308,SB,31,31 – 40 % moisture,Greater than 80 % acceptable paws,11 – 49 % caked,FALSE,FALSE,FALSE,35.5,90,30,High,Good,2.6993939393939392,0.6688753550706678,31
5459-57,5459,57,2024-08-27,Summer,2024-07-30,2024-09-17,Done per SOP,Less than 10 % caked,TRUE,Cleaned within 3 years,"Presence of marbles, chunks, leftover cake, or uneven litter",Less than 3 inches,Greater than 40 % moisture,Greater than 80 % acceptable paws,None,None,6.34681807428436,1.80572536156255,98.3023255814,0.711627907,0.1274054128,49,21500,21135,242220,6.7,ROSS 708,ORG,41,Greater than 40 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,45.5,90,5,High,Good,1.697674418604651,0.5537940715052422,49
2284-86,2284,86,2024-07-23,Summer,2024-06-11,2024-08-02,Done per SOP,"Greater than 50 % of area caked,Less than 10 % caked",FALSE,More than 5 years since cleanout,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,31 – 40 % moisture,Greater than 80 % acceptable paws,Performed but not recorded,Acid and disinfect used,6.77847551947721,1.72506966935302,89.8486238532,4.244266055,0.1303552985,52,87200,78348,916150,6.7,ROSS 708,TP,29,31 – 40 % moisture,Greater than 80 % acceptable paws,Greater than 50 % of area caked,FALSE,FALSE,TRUE,35.5,90,75,High,Good,10.15137614678899,0.5796867325219657,52
1313-101,1313,101,2024-10-04,Fall,2024-09-17,2024-11-15,Done per SOP,Less than 10 % caked,TRUE,Cleaned within 3 years,None of the above (litter even and clean),Greater than 5 inches,Less than 30 % moisture,50 – 80 % acceptable paws,Performed per SOP,Acid and disinfect used,9.32192513368984,1.90511702615879,90.9027777778,0.625,0.1579987311,59,36000,32725,581175,9,ROSS 708,BB,47,Less than 30 % moisture,50 – 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,15,65,5,Low,Acceptable,9.097222222222221,0.5249021379102675,59
1313-101,1313,101,2024-10-11,Fall,2024-09-17,2024-11-15,Done per SOP,11 – 49 % caked,TRUE,More than 5 years since cleanout,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,31 – 40 % moisture,Greater than 80 % acceptable paws,None,None,9.32192513368984,1.90511702615879,90.9027777778,0.625,0.1579987311,59,36000,32725,581175,9,ROSS 708,BB,47,31 – 40 % moisture,Greater than 80 % acceptable paws,11 – 49 % caked,FALSE,FALSE,FALSE,35.5,90,30,High,Good,9.097222222222221,0.5249021379102675,59
2312-87,2312,87,2025-03-05,Winter,2025-02-11,2025-03-27,Not done,11 – 49 % caked,FALSE,Cleaned within 3 years,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,31 – 40 % moisture,Greater than 80 % acceptable paws,None,Only 1 intervention used,6.35744907598033,1.7446662602865,93.8340909091,0.5886363636,0.144487479,44,44000,41287,457940,6.7,ROSS 308,TP,31,31 – 40 % moisture,Greater than 80 % acceptable paws,11 – 49 % caked,FALSE,FALSE,FALSE,35.5,90,30,High,Good,6.165909090909091,0.5731755251779703,44
5478-55,5478,55,2024-07-30,Summer,2024-07-02,2024-08-21,Not done,Less than 10 % caked,TRUE,Cleaned within 3 years,"Presence of marbles, chunks, leftover cake, or uneven litter",Less than 3 inches,31 – 40 % moisture,50 – 80 % acceptable paws,None,Only 1 intervention used,6.5531880319311,1.70049903911723,95.1066378178,1.2131983618,0.1344712847,49,51764,49231,548615,6.7,ROSS 708,TP,29,31 – 40 % moisture,50 – 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,35.5,65,5,High,Acceptable,4.893362182211575,0.5880626668975503,50
